[00:00.000 --> 00:02.000]  Abonnez-vous !
[12:49.000 --> 12:50.000]  Elle est en cours de recrutement.
[12:50.000 --> 12:51.000]  C'est Delphine.
[12:51.000 --> 12:55.000]  Si je ne me trompe pas, son prénom c'est ce que Mathieu m'a indiqué.
[12:55.000 --> 12:57.000]  Delphine a la différence de Lionel.
[12:57.000 --> 13:03.000]  Lui a signé son contrat officiellement à la Lugarnes.
[13:03.000 --> 13:05.000]  Il est immatriculé aux greffes etc.
[13:05.000 --> 13:06.000]  Ce n'est pas le cas de Delphine.
[13:06.000 --> 13:08.000]  Donc nous on n'a pas oublié Delphine.
[13:08.000 --> 13:11.000]  Mais elle n'est pas encore officiellement agent de la Lugarnes.
[13:11.000 --> 13:12.000]  C'est tout simplement pour ça.
[13:12.000 --> 13:16.000]  Là encore vous me direz c'est très administratif mais c'est comme ça.
[13:18.000 --> 13:22.000]  D'ailleurs peut-être que comme on est le 7 décembre,
[13:22.000 --> 13:24.000]  on pourrait en discuter Véronique.
[13:24.000 --> 13:27.000]  Mais ça vous voyez avec l'animation, ou pire je vous appellerais.
[13:27.000 --> 13:31.000]  Est-ce que pour elle, surtout si elle s'inscrit en tant qu'auto-entrepreneur au trimestre,
[13:31.000 --> 13:36.000]  il ne serait pas plus intelligent qu'elle fasse sa signature de contrat au 1er janvier.
[13:36.000 --> 13:38.000]  C'est à voir.
[13:38.000 --> 13:41.000]  Alors, au final combien d'heures auront-nous validé ?
[13:41.000 --> 13:43.000]  Séminaire plus WebHimmer.
[13:43.000 --> 13:45.000]  28 heures. Un tout petit peu plus.
[13:45.000 --> 13:47.000]  28h30 si je ne me trompe pas.
[13:47.000 --> 13:52.000]  28h30 si vous êtes venu au séminaire physiquement et que vous faites des vision-conférences,
[13:52.000 --> 13:57.000]  vous aurez vos 28 heures, c'est à dire 14 heures au titre de la loi Allure 2022
[13:57.000 --> 14:01.000]  et 14 heures au titre de la loi Allure 2023.
[14:01.000 --> 14:04.000]  Je crois qu'il y a une demi-heure en plus.
[14:04.000 --> 14:07.000]  Quelque chose comme ça, si je ne me trompe pas.
[14:07.000 --> 14:10.000]  Plein d'entre vous qui ne sont pas venus au séminaire.
[14:10.000 --> 14:14.000]  Typiquement comme Julien qui nous a déranger, qui sera dans le TGV etc.
[14:14.000 --> 14:18.000]  Julien qui n'a pas pu se rendre au séminaire cette année, nous le regrettons bien entendu,
[14:18.000 --> 14:21.000]  mais ce sera pour une prochaine fois j'en suis certain.
[14:21.000 --> 14:26.000]  Vous ne pouvez pas valider les 28 heures, vous ne validez que les heures de vision-conférences
[14:26.000 --> 14:32.000]  auxquelles vous pouvez vous rendre celles d'aujourd'hui et celles de la semaine prochaine.
[14:32.000 --> 14:38.000]  Ça veut dire que ça vous fera 2 plus 2 plus 2, 6 et je crois une demi-heure en plus, je ne suis pas sûr.
[14:38.000 --> 14:41.000]  Normalement vous devriez valider 6 heures au titre de la loi Allure
[14:41.000 --> 14:45.000]  grâce à ces vision-conférences que nous vous offrons gratuitement.
[14:45.000 --> 14:54.000]  Mais il faudra compléter avec les autres heures avec un autre organisme de formation.
[14:54.000 --> 15:04.000]  J'essaie par Orica, alors moi je ne connais pas Orica, j'imagine que c'est un centre de formation très très très bon, très compétent.
[15:04.000 --> 15:06.000]  Attestation envoyer l'animation, très bien.
[15:06.000 --> 15:15.000]  Et ceux d'entre vous qui ont fait leur formation ailleurs, comme nous le dit Dominique, envoyez votre attestation à l'animation.
[15:15.000 --> 15:21.000]  Véronique, je vais dire Dominique, excusez-moi, Véronique nous dit, avantage du parrainage au 31-12.
[15:21.000 --> 15:27.000]  Oui, c'est moi qui vous conseille de lui faire signer un démarrage d'activité au 1er janvier,
[15:27.000 --> 15:33.000]  mais bien entendu ce sera dans les avantages du parrainage au 31-12, soyez tranquille.
[15:34.000 --> 15:40.000]  Ceux d'entre vous qui ne le savent pas, je vais peut-être vous en reparler rapidement là, très très très très rapidement,
[15:40.000 --> 15:45.000]  on a réformé le programme de parrainage afin de le rendre plus attractif.
[15:45.000 --> 15:59.000]  Et le programme de parrainage nouvelle mouture, on va dire mouture 2024, que nous avons annoncé lors du séminaire.
[15:59.000 --> 16:05.000]  Ceux d'entre vous qui n'étaient pas là au séminaire, bien entendu, n'ont pas reçu, n'ont pas eu cet infos.
[16:05.000 --> 16:17.000]  Donc le parrainage 2024, tel que nous l'avons prévu et annoncé lors du séminaire, prévoit une rémunération de 5%.
[16:17.000 --> 16:21.000]  Alors ça, on va y revenir, c'est peut-être plutôt lors des visioconférences,
[16:21.000 --> 16:30.000]  lors des visioconférences du jeudi habituel, que nous en discuterons, mais très rapidement.
[16:30.000 --> 16:43.000]  On reste sur le principe des 10% de rémunération pour le parrain.
[16:44.000 --> 17:01.000]  Ces 10% de rémunération sont calculés, bien entendu, sur, je vais le mettre ici, 10% des honoraires de la lucarne.
[17:01.000 --> 17:06.000]  C'est-à-dire sur l'assiette restante à la lucarne, c'est ça les 10% de rémunération pour le parrain.
[17:06.000 --> 17:15.000]  C'est-à-dire que lorsqu'un fillol fait une vente, ce que conserve la lucarne, il ne s'agit pas d'aller prendre dans la poche du fillol, ça c'est hors de question,
[17:15.000 --> 17:21.000]  que garde la lucarne en honoraire, la lucarne on donne 10% au parrain.
[17:21.000 --> 17:29.000]  Bien entendu, ces 10% existent aussi pour un sous-filleul à hauteur de 4%, mais ça c'est beaucoup plus rare.
[17:29.000 --> 17:31.000]  Donc ça, c'est ce qu'il y a aujourd'hui et on le garde.
[17:31.000 --> 17:43.000]  Par contre, là où on rajoute quelque chose, c'est que lorsque vous recrutez quelqu'un, lorsque vous recrutez un nouveau,
[17:43.000 --> 17:51.000]  on vous fait une réprocession de 100% des honoraires de la lucarne à la troisième et à la sixième vente de votre fillol.
[17:51.000 --> 17:58.000]  Donc je mets ici, excusez-moi j'ai fait une bêtise, et après on commence la formation M.M.
[17:58.000 --> 18:17.000]  Plus 100% des honoraires de la lucarne pour la troisième et la sixième vente du fillol.
[18:18.000 --> 18:25.000]  Ça veut dire que votre fillol fait une vente de vente, à la troisième vente vous touchez l'intégralité des honoraires de la lucarne.
[18:25.000 --> 18:30.000]  Il fait une quatrième, une cinquième vente et à la sixième vente vous touchez également,
[18:30.000 --> 18:38.000]  donc là j'ai mis vente sans S parce que c'est la troisième et la sixième, il faut que je mette un S ici, excusez-moi, c'est honteux de ma part.
[18:38.000 --> 18:45.000]  Troisième et sixième vente, vous touchez 100% des honoraires de la lucarne.
[18:45.000 --> 18:51.000]  Et on a ajouté une petite chose supplémentaire et c'est là que la remarque très judicieuse de Véronique intervient.
[18:51.000 --> 19:04.000]  Également en récompense du temps que vous allez passer, de l'investissement que vous allez engager pour aider votre fillol à vendre.
[19:04.000 --> 19:24.000]  Lorsque votre fillol fait sa première vente, à la première vente du fillol, vos honoraires, je le mets en gros vos honoraires,
[19:24.000 --> 19:44.000]  c'est-à-dire votre vente à vous, sont augmentés, comment plus pourrais-je vous dire, je vais mettre ça ici en gras et en souligné.
[19:44.000 --> 20:11.000]  À la première vente du fillol, vos honoraires sont abondés, améliorés, on pourrait dire que votre, sont améliorés, je vais mettre ça comme ça, par 5% de plus sur votre premier palier, les deux mois productifs suivants.
[20:11.000 --> 20:17.000]  J'explique, parce que dit comme ça, c'est un peu abscon, je vous l'accorde.
[20:17.000 --> 20:27.000]  Lorsque votre fillol fait sa première vente, sa toute première vente, vous toucherez donc 10% de la part de la lucarne, c'est une première chose.
[20:27.000 --> 20:34.000]  Vous toucherez rien dans les 100%, ça c'est la troisième et la sixième vente, donc ça on n'y touche pas.
[20:34.000 --> 20:55.000]  Par contre, à la première vente, en plus des 10%, vos honoraires à vous seront améliorés de 5%, c'est-à-dire vos honoraires ne commenceront pas à 60%, mais à 65% pour les deux mois suivants où vous faites des ventes.
[20:55.000 --> 21:03.000]  C'est-à-dire votre fillol fait une vente, sa première vente, le 5 avril.
[21:03.000 --> 21:22.000]  Et bien vos ventes de mai commenceront à 65% et pas à 60%, et vos ventes de juin commenceront à 65% et pas à 60%, donc ça fait deux mois, mai et juin.
[21:22.000 --> 21:27.000]  Mais que se passe-t-il si ce n'est pas de ventes en mai ? On va attendre le prochain mois où vous avez une vente.
[21:27.000 --> 21:34.000]  Lui il fait sa première vente en avril, vous n'avez pas de ventes en mai, vous en avez une en juillet, on attendra juillet.
[21:34.000 --> 21:48.000]  Ce sera donc abondé, amélioré, augmenté, assaisonné, je ne sais pas comment dire, en juillet, c'est-à-dire lors de votre prochain mois, productif le prochain mois, où vous avez des ventes à toucher.
[21:48.000 --> 21:58.000]  Bien nous entendu, tout cela est toujours calculé sur les actes authentiques, pas sur les compromis, pas sur les off, pas sur les visites, ce sont les actes authentiques qui font foie.
[21:58.000 --> 22:03.000]  Toujours, parce que ça c'est quelque chose sur lequel on ne peut pas tricher.
[22:03.000 --> 22:16.000]  Si jamais vous faites des recrutements avant le 31 décembre 2023, ce n'est pas 5%, c'est 10%. C'est ça dont Véronique nous parlait, 10%.
[22:16.000 --> 22:36.000]  Côté personnes qui signent son contrat avant le 31 décembre, pour essayer de mettre un petit coup de booster supplémentaire, vos honoraires ne commenceront pas à 60%, ni à 65%, mais à 70% lors de vos premiers, les deux mois qui suivront les premiers honoraires de vos FIHL.
[22:36.000 --> 22:45.000]  Lorsque je dis à Véronique, peut-être qu'il serait pertinent que votre FIHL démarre au 1er janvier 2024, ça ne l'empêche pas de signer son contrat avant.
[22:45.000 --> 22:55.000]  Elle peut signer son contrat, je vous dis une bêtise, le 15 décembre, avec une date de démarrage d'activité au 1er janvier, ou au 2 janvier, je ne sais pas, ça tombe quoi.
[22:55.000 --> 23:03.000]  Ça peut être le premier ou le 2, vous savez parfois, le premier jour ouvré. Là le premier c'est un lundi, bon de toute façon pas de problème, mais même ça tombe sur un jour férié ou n'importe quoi.
[23:03.000 --> 23:08.000]  On va pousser au premier jour ouvré suivant, donc le 2. Juridiquement ça n'a aucun appât, en vrai.
[23:08.000 --> 23:17.000]  Donc pas de soucis, elle peut très bien signer son contrat le 15 décembre, et puis avoir un démarrage d'activité.
[23:17.000 --> 23:20.000]  La raison pour laquelle je dis ça, c'est pour ses calculs de leur SAF.
[23:20.000 --> 23:28.000]  Peut-être surtout si elle est autre entrepreneur au trimestre, il serait plus simple pour elle de démarrer au 1er janvier 2024, parce qu'on est sur le passage d'une nouvelle année.
[23:28.000 --> 23:32.000]  Maintenant on peut en discuter, si elle a des mandats à rentrer avant, qu'elle rentre avant.
[23:32.000 --> 23:44.000]  Mais de toute manière, si elle signe son contrat avant, Véronique, elle signe son contrat le 15, le 22, le 26 décembre, pas de problème, c'est ça qui compte et vous serez bien à 10%.
[23:44.000 --> 23:45.000]  Soyez tranquille.
[23:45.000 --> 23:53.000]  Tous ceux d'entre vous qui ont des questions à poser concernant ce nouveau mode de parrainage, n'hésitez pas à demander à l'animation.
[23:53.000 --> 23:58.000]  Et on en reparlera si vous le souhaitez lors des prochaines visioconférences du jeudi.
[23:58.000 --> 24:02.000]  Est-il possible d'avoir toutes ces informations et des exemples pour que ce soit bien clair pour tout le monde ?
[24:02.000 --> 24:12.000]  Oui, bien sûr, je peux vous préparer ça et on peut en reparler au cours des prochaines visios, pas de soucis, il n'y a pas de problème du tout, Camille, c'est une très bonne idée.
[24:12.000 --> 24:21.000]  Patricia nous dit, bien expliqué, que ce n'est pas 10% des honoraires, oui, ce n'est pas 10% des honoraires, c'est 10% des honoraires de la lucarne, c'est-à-dire de ce que la lucarne conserve.
[24:21.000 --> 24:27.000]  On a eu cette incompréhension dans le passé, on ne veut pas retomber dans ce même malentendu, ça c'était empoisonnant pour tout le monde.
[24:27.000 --> 24:33.000]  Donc non, non, non, Patricia a tout à fait raison, il s'agit bien de 10% des honoraires de la lucarne.
[24:33.000 --> 24:38.000]  C'est évident. On fera des exemples, comme le dit Camille, c'est une très bonne idée.
[24:38.000 --> 24:39.000]  C'est une très très très bonne idée.
[24:39.000 --> 24:48.000]  Alors, on va commencer la formation loi allure à proprement parler, c'est-à-dire le code de néontologie.
[24:48.000 --> 24:50.000]  Tout ça, je le supprime.
[24:50.000 --> 24:58.000]  Le code de néontologie, ça a été instauré, ça aussi, à la suite de la loi allure.
[24:58.000 --> 25:05.000]  De quoi s'agit-il ? Il s'agit, entre guillemets, d'un code de bonne conduite des agents immobiliers.
[25:05.000 --> 25:10.000]  C'est ça un code de néontologie. C'est un code de bon comportement, un code de probité.
[25:10.000 --> 25:15.000]  Alors, cependant, il y a quelque chose d'important avec un code de néontologie.
[25:15.000 --> 25:18.000]  D'ailleurs, voici le code de néontologie des agents immobiliers.
[25:18.000 --> 25:21.000]  Je vais aller le prendre tout à l'heure sur les chiffrances.
[25:21.000 --> 25:23.000]  Vous voyez, on ne peut pas être plus à jour que ça.
[25:23.000 --> 25:28.000]  Je vais vous le donner, bien sûr, je vais vous l'envoyer tout de suite par le tchat.
[25:28.000 --> 25:31.000]  Et de toute manière, on va l'intégrer à Eglantine.
[25:31.000 --> 25:34.000]  Vous voyez, version en vigueur au 7 décembre 2023.
[25:34.000 --> 25:38.000]  On ne peut pas faire plus frais. Mais il n'a pas été modifié depuis 2019.
[25:38.000 --> 25:43.000]  De toute manière, il a été instauré en 2015, il n'a plus été modifié depuis 2019.
[25:44.000 --> 25:46.000]  Là, on est à jour.
[25:46.000 --> 25:52.000]  Quelle est la différence entre un code de néontologie et un code de bonne pratique, etc.
[25:52.000 --> 25:53.000]  Un code de bonne conduite.
[25:53.000 --> 26:03.000]  C'est qu'un code de néontologie, pardon, il en existe chez les avocats, il en existe chez les médecins, il en existe dans plein de professions.
[26:03.000 --> 26:08.000]  Un code de néontologie a la même valeur que la loi.
[26:08.000 --> 26:11.000]  Il s'impose à vous.
[26:11.000 --> 26:20.000]  Moi, je me souviens quand j'étais à l'école, on nous faisait signer chaque année, en début d'année, le règlement de l'école et un code de bonne conduite.
[26:20.000 --> 26:24.000]  C'était pour responsabiliser les élons.
[26:28.000 --> 26:35.000]  Pour responsabiliser, oui, c'était aussi le plume. Vous avez raison, Fédéric, je crois que ça n'existe plus chez les enfants d'aujourd'hui, les silos au plume.
[26:35.000 --> 26:51.000]  Donc, tous les ans, à la rentrée de septembre, dans mon école, en tout cas, je ne sais pas si c'était comme ça chez vous, on nous faisait signer le règlement de l'école et un code de bonne pratique, de bon comportement, dans lequel on s'engageait à ne pas faire les singes en classe, à ne pas danser sur les tables.
[26:51.000 --> 26:56.000]  Et que sais-je encore, maintenant, vous avez un enfant aussi sage que moi, vous imaginez bien que ce n'était pas nécessaire.
[26:56.000 --> 27:00.000]  D'autres, peut-être, mais moi, qui aurait pu l'imaginer.
[27:00.000 --> 27:06.000]  Mais que se passait-il si jamais on ne respectait pas ce code de bonne conduite ?
[27:06.000 --> 27:13.000]  On pouvait prendre des heures de call, moi, dans mes écoles, il y avait les heures de call assez faciles.
[27:13.000 --> 27:22.000]  Donc, on pouvait prendre des heures de call, on pouvait prendre des avertissements, on pouvait prendre des sanctions disciplinaires, mais je n'allais pas finir en prison si je dansais sur les tables, alors que je n'en avais pas le droit.
[27:22.000 --> 27:26.000]  Ça s'arrêtait à un règlement inférieur et à de la discipline intérieure.
[27:27.000 --> 27:35.000]  Et ça, c'est pareil partout où il y a un règlement interne, où il y a un code de bonne conduite, un engagement de bonne pratique, etc.
[27:35.000 --> 27:43.000]  En fait, ça ne vaut qu'à l'intérieur de l'institution qui vous le fait signer.
[27:43.000 --> 27:48.000]  Le code de déontologie, par contre, il a une valeur légale. D'ailleurs, vous le voyez, je l'ai pris sur l'Égifrance.
[27:48.000 --> 28:03.000]  L'Égifrance, c'est le site officiel de diffusion de la loi, de la jurisprudence, de toutes les règles constitutionnelles, législatives et réglementaires qui gouvernent notre comportement quotidien.
[28:03.000 --> 28:19.000]  Ça veut donc dire que ce code de déontologie, il a été visé par, vous le voyez, je vais zoomer, le premier ministre, le garde des sceaux, le ministre du logement, du machin, du truc et du bidule.
[28:19.000 --> 28:33.000]  Et si nous ne le respectons pas, il n'y a pas ici de sanction, il ne s'agit pas de droit pénal, mais si nous ne le respectons pas, ça peut engager notre responsabilité légale.
[28:33.000 --> 28:45.000]  Ce n'est pas seulement un code de bonne pratique qu'on s'engage avec plus ou moins de bonne volonté, une bonne foi à appliquer, et puis si on ne l'applique pas, on évitait un petit canard, mais ça s'arrête là. Pas du tout.
[28:45.000 --> 29:00.000]  Ça a une valeur légale. Alors je vous l'envoie tout de suite à tous. Je vous ai dit, on le mettra dans Eglantine. Christelle nous dit, ce ne serait pas une mauvaise idée également de mettre la loi allure, la loi au guet.
