[00:00.000 --> 00:03.000]  Réseau d’agent Mandat
[04:12.000 --> 04:34.000]  Alors, inflation au rythme annuel 2023, l12 2022, donc ça c'était l'inflation 2022, vous voyez, qui était sur plus haut, le bleu, les barres bleues.
[04:34.000 --> 04:37.000]  Les barres bleues, c'était, est-ce que je peux ouvrir ça en plus grand ?
[04:38.000 --> 04:46.000]  Les barres bleues, si je ne me trompe pas, c'est l'inflation de 2022 et on voit que tout au long de 2022 ça a augmenté.
[04:46.000 --> 04:51.000]  Vous voyez janvier, février, crac crac crac crac crac, c'est un petit peu redescendu juillet, août, septembre.
[04:51.000 --> 05:03.000]  Vous voyez qu'il faut se méfier d'une baisse, si on regarde juste à un moment donné, on se dit, ah bah tiens, ça baisse, c'est une tendance plus longue qu'il faut regarder parce qu'après ça avait remonté dès octobre, pouf, dès octobre.
[05:03.000 --> 05:15.000]  Et puis d'ailleurs nous, c'est à ce moment-là, vous savez qu'entre l'inflation et les taux directeurs et les taux d'intérêt, c'est lié, oui, c'est lié.
[05:15.000 --> 05:23.000]  Mais les taux directeurs et les taux d'intérêt qui en découlent ne sont pas calculés directement en temps réel par rapport à l'inflation.
[05:23.000 --> 05:29.000]  Il y a toujours un décalage parce que les banques centrales, c'est les banques centrales qui définissent les taux.
[05:29.000 --> 05:35.000]  La Banque centrale européenne, ce qu'on appelle la Fed, l'équivalent de la Banque centrale aux États-Unis.
[05:35.000 --> 05:50.000]  Il y a bien entendu les banques centrales des États membres en France, en États-Unis, etc. qui ont une influence, qui définissent les taux en fonction, pas seulement, mais beaucoup de l'inflation.
[05:50.000 --> 06:02.000]  Et c'est nous, en septembre-octobre, donc là où vous voyez ma souris bouger un petit peu là, c'est là que nous avons vu l'année dernière le marché vraiment se gripper.
[06:02.000 --> 06:06.000]  Vraiment, vraiment, vraiment se gripper.
[06:06.000 --> 06:22.000]  Et ce n'était pas lié à la baisse de l'inflation de septembre, c'était lié en fait à la hausse de l'inflation de la première moitié de l'année, en fait, du premier semestre qui se répercutait dans les taux, mais pas seulement.
[06:22.000 --> 06:34.000]  Et on voit que tout à l'heure, ça a remonté après, pif-paf, en octobre-décembre, ça a un petit peu baissé, c'est un petit peu redescendu, vous voyez.
[06:34.000 --> 06:52.000]  Et ça remonte en janvier parce que là, les barres rose jaune orange, c'est 2023, donc on termine les 2022 ici à la barre bleue et on commence 2023 ici et on voit que l'inflation est peut-être à 6%.
[06:52.000 --> 06:58.000]  Et elle a bien amplement dépassé 6%, elle est peut-être à 6,650, là je ne sais pas, quelque chose comme ça.
[06:58.000 --> 07:12.000]  Et après, hop, une baisse en mars, remontée en avril, mais pas au-dessus des 6%, et ça redescend, et ça redescend, et ça redescend, ça remonte en août de septembre, c'est normal, c'est toujours saisonnier, et hop, et ça redescend un petit peu.
[07:12.000 --> 07:24.000]  Donc on est dans un rythme plutôt baissier par rapport à l'année dernière et ça devrait se traduire dans les taux d'intérêt.
[07:24.000 --> 07:28.000]  Pourquoi ça se traduit dans les taux d'intérêt ?
[07:28.000 --> 07:44.000]  Alors je ne vais pas faire l'expert en finance et en économie que je ne suis pas, bien sûr, je vous parle grossièrement des choses telles que je les connais, c'est-à-dire pas du tout en spécialiste, en expert, vous le savez.
[07:44.000 --> 07:50.000]  Les taux d'intérêt, c'est un outil des banques centrales pour essayer de juguler l'inflation.
[07:50.000 --> 08:00.000]  Vous trouverez là encore des gens très experts pour vous expliquer que ce n'est pas la bonne méthode, ce n'est pas le bon outil, ce n'est pas comme ça qu'il faut faire, il faut s'y prendre différemment.
[08:00.000 --> 08:16.000]  En tout cas, c'est un outil qui est utilisé par les banques centrales pour essayer de juguler l'inflation, pour freiner l'inflation ou pour la réduire, ou l'augmente les taux.
[08:16.000 --> 08:20.000]  Je vous dis ça de manière là encore très basique.
[08:20.000 --> 08:41.000]  Et quand l'inflation baisse, en théorie, on peut baisser les taux, on se dit ah c'est bon, ça se stabilise, le ciel s'éclaircit, c'est bon, on peut soit arrêter d'augmenter les taux, soit même baisser les taux.
[08:41.000 --> 08:47.000]  Avec toujours la question, oui mais attention si on les baisse, ça ne va pas faire repartir l'inflation à la hausse, etc.
[08:47.000 --> 08:56.000]  Ce sont là les débats d'experts, les « who can't lose » de toute manière, on n'a pas pris un autre avis, et nous on a à peu près rien à foutre.
[08:56.000 --> 09:02.000]  Donc c'est là-dessus qui se base, c'est sur le ralentissement voire la baisse de l'inflation.
[09:02.000 --> 09:14.000]  Ce n'est pas vraiment une baisse parce que vous voyez qu'on n'est pas encore revenu là en novembre 2023, au taux de janvier 2022.
[09:14.000 --> 09:16.000]  Donc on n'est pas encore redescendu au plus bas d'ailleurs.
[09:16.000 --> 09:19.000]  Si on peut regarder taux inflation actuel, est-ce qu'on peut avoir ?
[09:19.000 --> 09:24.000]  Je vais désoomer bien sûr, je vais désoomer pour vous.
[09:31.000 --> 09:46.000]  Si on peut retrouver ici les graphiques de l'inflation avant 2022, c'est-à-dire aller sur un graphique qui serait 2021-2022.
[09:47.000 --> 09:50.000]  On n'a pas ça ? On n'a pas ça ?
[09:50.000 --> 09:56.000]  Inflation du mois, inflation, prévision inflation, on peut prendre prévision inflation, on va voir s'il nous dit un petit peu.
[10:01.000 --> 10:07.000]  Non ? Est-ce qu'on peut avoir inflation 2021 ?
[10:07.000 --> 10:10.000]  Ça n'écrit pas, excusez-moi.
[10:16.000 --> 10:26.000]  1,6% de ça c'est la moyenne en 2021, attention, c'est la moyenne parce que quand on voit qu'ici on était aux alentours de 3% en janvier, c'était en janvier.
[10:30.000 --> 10:34.000]  Est-ce qu'il nous donne des graphiques ou juste des données ?
[10:34.000 --> 10:36.000]  J'ai peur, c'est court.
[10:36.000 --> 10:38.000]  J'ai très très très très peur.
[10:40.000 --> 10:44.000]  2022, 5,2%, ça c'est la moyenne.
[10:44.000 --> 10:55.000]  Si on prend tout ce qu'on a en 2022 ici, on est à une moyenne de 5,2% et là vous voyez qu'aujourd'hui, là en novembre, on est à trois et quelques.
[10:57.000 --> 11:01.000]  Et si on prend l'inflation 2021, on était à 1,6%.
[11:01.000 --> 11:07.000]  Vous voyez qu'on est passé à une moyenne annuelle de 1,6 à 5,2.
[11:08.000 --> 11:15.000]  Là en novembre, on serait donc à on va dire 3,5.
[11:16.000 --> 11:18.000]  J'imagine 3,5.
[11:18.000 --> 11:20.000]  On est encore loin des 1,6.
[11:20.000 --> 11:29.000]  Donc on n'est pas dans une baisse qui nous remet à l'état où on était avant, mais on est quand même dans un sérieux ralentissement, une décélération.
[11:29.000 --> 11:34.000]  Les journalistes aiment bien ça, un ralentissement de l'augmentation.
[11:35.000 --> 11:37.000]  Pourquoi je vous parle de ça ?
[11:37.000 --> 11:51.000]  Pourquoi je vous parle de ça ? Parce que vous êtes nombreux, vous et puis vous aussi bien entendu, parce que c'est votre métier à vous interroger et peut-être vous angoisser sur les taux d'intérêt.
[11:51.000 --> 12:02.000]  Parce que les taux d'intérêt ne sont pas du tout le seul Twitter qui fait qu'on fait plus ou moins de ventes, mais c'est un élément déterminant.
[12:02.000 --> 12:07.000]  Si les taux d'intérêt sont élevés, il y a beaucoup moins de gens qui peuvent acheter.
[12:07.000 --> 12:09.000]  C'est aussi simple que ça.
[12:09.000 --> 12:14.000]  Plus les taux d'intérêt sont élevés, moins il y a de gens qui peuvent acheter.
[12:14.000 --> 12:18.000]  Plus les taux d'intérêt sont bas, plus il y a de gens qui peuvent acheter.
[12:18.000 --> 12:28.000]  Donc en fait, l'acquisition immobilière est facilité et on va dire démocratisée par des taux faibles.
[12:28.000 --> 12:36.000]  L'acquisition immobilière est compliquée, ralentie, entravée par des taux d'intérêt élevés.
[12:36.000 --> 12:48.000]  Et même s'il y a plein de facteurs qui font qu'un marché immobilier est fluide, ça se passe bien, ou grippé, ça se passe mal, il y a plein de choses.
[12:48.000 --> 12:53.000]  Il peut y avoir des élections, il peut y avoir des conjoncturiers à un pays spécifiquement.
[12:53.000 --> 12:56.000]  En Irlande, ça ne se passe pas de la même manière qu'en France.
[12:56.000 --> 13:02.000]  Des guerres, des tensions géopolitiques, des tensions au sein d'un pays.
[13:02.000 --> 13:17.000]  Tout ça, c'est vrai, mais les taux d'intérêt sont un des facteurs les plus importants, un de ceux qui ont le plus d'impact réel.
[13:18.000 --> 13:29.000]  Donc surveiller les taux et essayer de prévoir leur éventuelle baisse, c'est anticiper une amélioration du marché immobilier.
[13:29.000 --> 13:39.000]  On a eu en fin 2022 et tout 2023 un marché immobilier extrêmement difficile, vraiment très très très très très difficile.
[13:39.000 --> 13:42.000]  Là, la fin de l'année, parce qu'il y a toujours un décalage.
[13:42.000 --> 13:46.000]  Un décalage, c'est exactement comme les fonds du Covid.
[13:46.000 --> 13:55.000]  Entre le moment où les gens sont malades et le moment où ils ont les premiers symptômes, il se passe dix jours.
[13:55.000 --> 14:02.000]  Et le moment où ils ont les premiers symptômes et ils ont la vraie maladie, c'est-à-dire des problèmes respiratoires, machin, etc.
[14:02.000 --> 14:05.000]  Il y a encore dix jours pour qu'ils finissent en réanimation.
[14:05.000 --> 14:10.000]  Et une fois qu'ils sont en réanimation, il y a encore dix jours pour voir se répercuter ça sur les décès.
[14:10.000 --> 14:17.000]  Nous en souvenons de tout ce qui fait qu'entre le moment où une personne attrape le Covid 19, le virus tout au moins,
[14:17.000 --> 14:23.000]  parce que le Covid 19 c'est la maladie, entre le moment où une personne attrape le virus et le moment où elle meurt, il se déroule un mois.
[14:23.000 --> 14:32.000]  Parce qu'il faut que ça incubue, ça aille les premiers symptômes, ça tourne mal, on va à l'hôpital, on va en réa et on meurt.
[14:32.000 --> 14:35.000]  Il se déroule un mois. Vous vous souvenez de ça ?
[14:35.000 --> 14:39.000]  Encore, on ne rentre pas dans le débat s'il vous plaît du Covid.
[14:39.000 --> 14:51.000]  C'est exactement pareil pour nous. Entre le moment où les prix montent, l'inflation, les taux et ça se répertue dans les ventes, il y a plusieurs mois.
[14:51.000 --> 14:56.000]  Il se déroule plusieurs mois. Et par exemple, en ce moment même, novembre et décembre, ce sont des mois très très très mauvais.
[14:56.000 --> 15:01.000]  On le voit nous dans les transactions, ce sont des mois très très très très mauvais.
[15:01.000 --> 15:12.000]  Comme je vous l'ai dit, moi je pense que le marché ne va pas revenir à ce qu'il était auparavant.
[15:12.000 --> 15:20.000]  Je pense qu'on est arrivé, on en a amplement discuté au cours de plein de visions et on en a discuté à cette heure par exemple.
[15:20.000 --> 15:26.000]  Je pense que le marché ne va pas revenir à ce qu'il était auparavant. Je pense que le marché a suivi une évolution.
[15:26.000 --> 15:33.000]  La conjoncture économique et géopolitique a fait qu'on est arrivé à un certain stade.
[15:33.000 --> 15:40.000]  Et maintenant il va falloir reconstruire une nouvelle prospérité tout doucement.
[15:40.000 --> 15:52.000]  Ça veut dire que je pense que les choses vont tout doucement s'améliorer, vont tout doucement devenir plus favorables pour nous.
[15:52.000 --> 16:02.000]  Mais non, elles ne vont pas revenir à ce qu'elles étaient en positif de manière aussi brutale qu'elles sont devenues négatives et grippées.
[16:02.000 --> 16:06.000]  Non, tout doucement ça va, on va reconstruire une nouvelle croissance.
[16:06.000 --> 16:12.000]  Un petit peu comme si on était arrivés au haut d'une montagne, bouf on est descendu d'un coup, on a roulé en bas de la vallée.
[16:12.000 --> 16:18.000]  Et maintenant il va falloir qu'on regravisse la montagne suivante, tout simplement.
[16:19.000 --> 16:26.000]  C'est important quand même parce qu'on n'a pas eu beaucoup de perspectives positives tout au long de l'année.
[16:26.000 --> 16:30.000]  On a vu les choses se dégrader, se dégrader, se dégrader.
[16:30.000 --> 16:40.000]  Là avoir pas mal d'experts, ils nous disent quand même, ah, peut-être, moi je reste prudent entre ceux-là, oui oui ça va se passer comme ça.
[16:40.000 --> 16:50.000]  Il y a peut-être des raisons d'espérer une baisse des taux en 2024.
[16:50.000 --> 16:56.000]  C'est quand même une bonne nouvelle, c'est quand même une lueur d'espoir parce qu'à partir du moment où les taux baissent très rapidement,
[16:56.000 --> 17:02.000]  on voit s'améliorer la conjoncture immobilière.
[17:02.000 --> 17:06.000]  Dès que les taux baissent, ça veut dire que tout de suite il y a un petit peu plus de gens.
[17:06.000 --> 17:10.000]  On a baissé les taux de 0,1%, il y a un tout petit peu plus de gens qui peuvent acheter.
[17:10.000 --> 17:14.000]  Encore 0,1%, hop encore un tout petit peu plus de gens qui peuvent acheter.
[17:14.000 --> 17:21.000]  Ça ne veut pas dire que du jour au lendemain on va faire le double de ventes, non mais petit à petit on va avoir un petit peu plus d'acquérisseurs financiers.
[17:21.000 --> 17:30.000]  Ça va redonner entre guillemets le moral aux banques parce qu'on sait que les banques jouent également un rôle délétère très important dans la crise actuelle,
[17:30.000 --> 17:40.000]  dans la mesure au-delà des taux, les banques ferment les robinets et font preuve d'une frilosité absolument subjective.
[17:40.000 --> 17:50.000]  Ce n'est pas très rationnel tout ça, mais les banques vont du coup reprendre un petit peu confiance en le marché immobilier et elles vont jouer leur rôle.
[17:50.000 --> 17:55.000]  Elles vont accompagner la baisse des taux avec un petit peu plus de souplesse sur les accords de crédit.
[17:55.000 --> 18:07.000]  Donc petit à petit si ça se produit, si effectivement le début 2024 on voit une baisse des taux, on va voir petit à petit les choses s'améliorer.
[18:07.000 --> 18:12.000]  Chaque mois ça ira un petit peu mieux, un petit peu mieux, un petit peu mieux.
[18:12.000 --> 18:27.000]  C'est important parce que je ne sais pas si ça va se produire ou pas, mais c'est vrai que ça fait pas mal d'articles que je vois qui en parlent et qui vont dans ce sens là.
[18:27.000 --> 18:29.000]  Donc ça peut nous donner des raisons d'espérer.
[18:29.000 --> 18:34.000]  C'est la première raison d'espérer qu'on a depuis fin 2022 quand même.
[18:34.000 --> 18:41.000]  Depuis fin 2022, c'est que nos roses dégueulasses sont, ce sera de pire en pire, là, tiens, est-ce qu'on ne sortirait pas un peu du tunnel ?
[18:41.000 --> 18:55.000]  Vous savez exactement comme pour le Covid, le Covid pendant toute l'année, c'était 2020, toute l'année 2020 et 2021 ça n'a été que de pire en pire et résurgence et repart à la hausse et machin, etc.
[18:55.000 --> 18:58.000]  Et puis petit à petit c'est qu'elle est de mieux en mieux.
[18:58.000 --> 19:02.000]  Alors je ne suis pas en train de dire que c'est allé de mieux en mieux d'un point de vue sanitaire, je ne veux pas rentrer dans ce débat-là.
[19:02.000 --> 19:05.000]  Ça c'est un débat qu'on peut avoir quand on dine ensemble.
[19:05.000 --> 19:13.000]  Mais tout s'est petit à petit amélioré jusqu'à ce qu'on soit complètement presque sorti de ça.
[19:13.000 --> 19:27.000]  Donc on verra ce qui se passera mais une chose est sûre, on a des raisons de se dire, tiens, première fois en un an, un an et demi, qu'il y a des perspectives un peu positives.
[19:28.000 --> 19:31.000]  On verra ce qui se produira réellement, bien sûr.
[19:31.000 --> 19:37.000]  Et Ludi nous dit, ça a déjà commencé, selon ma CGP, alors CGP c'est conseiller de gestion patrimoine.
[19:37.000 --> 19:43.000]  Je dis ça parce que tout le monde n'est pas forcément habitué à ces acronymes.
[19:43.000 --> 19:51.000]  Donc selon ma CGP, la Société Générale fait des taux d'attaque à 3%.
[19:52.000 --> 20:00.000]  C'est vrai que c'est la première fois que j'entends cette nouvelle, si c'est réel c'est parlant, c'est très très parlant.
[20:02.000 --> 20:10.000]  Donc José nous dit, ma conseillère financière me disait que le gouvernement allait agir pour ne pas plomber le marché immobilier, peut-être une baisse des taux.
[20:10.000 --> 20:12.000]  Ça on va y revenir.
[20:12.000 --> 20:17.000]  Et Pierre nous dit, si le taux était élevé, il faut que les vendeurs baissent le prix et le problème est résolu.
[20:17.000 --> 20:19.000]  Super important ça.
[20:21.000 --> 20:26.000]  On va traiter les deux remarques de José et Pierre.
[20:26.000 --> 20:31.000]  Pierre d'ailleurs, bienvenue à Nadjet qui aujourd'hui fait sa première visio du jeudi.
[20:31.000 --> 20:34.000]  Nadjet est toute nouvelle chez nous, elle vient d'arriver.
[20:34.000 --> 20:37.000]  Je crois que vous êtes dans le 33 Nadjet, est-ce que je ne me trompe pas ?
[20:37.000 --> 20:41.000]  Je vais vérifier votre département.
[20:41.000 --> 20:47.000]  Il me semble, si je ne dis pas de bêtises, que vous êtes en giron.
[20:47.000 --> 20:49.000]  Est-ce que je dis une bêtise ou pas ?
[20:49.000 --> 20:51.000]  Je vais vérifier.
[20:51.000 --> 20:57.000]  Bienvenue à vous, bienvenue dans le réseau, bienvenue à la Luka, bienvenue à ces visioconférences.
[20:57.000 --> 21:00.000]  Tout le monde vous dit sur le chat comme à chaque fois, bienvenue à vous.
[21:00.000 --> 21:03.000]  Dans le 38, pardon, vous êtes en Isère, excusez-moi.
[21:03.000 --> 21:06.000]  Je vous dis une bêtise, je dis une bêtise, vous êtes en Isère.
[21:06.000 --> 21:08.000]  C'est 38 et non pas 33, toutes mes excuses.
[21:08.000 --> 21:10.000]  Donc bien entendu, tout le monde vous souhaite la bienvenue.
[21:10.000 --> 21:13.000]  Bienvenue à vous, ma chère Nadjet.
[21:14.000 --> 21:21.000]  Je vous disais, hop là, par rapport aux remarques de José de Pierre.
[21:21.000 --> 21:24.000]  José dit, ma conseillère financière me disait que le gouvernement allait agir
[21:24.000 --> 21:27.000]  pour ne pas plomber le marché immobilier peut-être par une baisse des taux.
[21:27.000 --> 21:34.000]  Ça, moi, je n'y crois pas parce que le gouvernement n'a pas la main sur les taux.
[21:34.000 --> 21:36.000]  Je pense, c'est l'impression.
[21:36.000 --> 21:40.000]  Le gouvernement n'a pas trop la main sur les taux parce que les taux qui sont pratiqués en France,
[21:40.000 --> 21:44.000]  ce sont des taux qui sont décidés concrètement entre trois organismes,
[21:44.000 --> 21:46.000]  la Banque centrale européenne.
[21:46.000 --> 21:49.000]  Bienvenue à la nouvelle, Luc Armienne dit, en effet.
[21:49.000 --> 21:57.000]  Donc la Banque centrale européenne et la Fed, ce qu'on appelle la réserve fédérale aux États-Unis,
[21:57.000 --> 22:00.000]  c'est l'équivalent de la Banque centrale aux États-Unis et le FMI,
[22:00.000 --> 22:02.000]  le Fonds de l'Etat international.
[22:02.000 --> 22:10.000]  Ce sont les trois organismes qui définissent la politique des taux en Occident.
[22:10.000 --> 22:15.000]  Bien entendu, avec influence de la Chine, avec influence de plein de choses.
[22:15.000 --> 22:25.000]  Mais principalement qui décide des taux en Occident, c'est les décisions prises
[22:25.000 --> 22:27.000]  et les recommandations pour le FMI,
[22:27.000 --> 22:30.000]  puisque le FMI ne peut pas prendre des décisions directement applicables.
[22:30.000 --> 22:37.000]  Il y a une très grande influence entre le FMI, le FMI, la Réseve fédérale américaine
[22:37.000 --> 22:40.000]  et la Banque centrale européenne.
[22:40.000 --> 22:43.000]  Bien sûr que la Banque de France a un rôle à jouer,
[22:43.000 --> 22:49.000]  mais aujourd'hui il n'y a pas du tout l'influence qu'il avait auparavant.
[22:49.000 --> 22:55.000]  Bien sûr que les gouvernements essayent de faire un peu ce qu'ils peuvent, ce qu'ils veulent, etc.
[22:55.000 --> 22:58.000]  Mais c'est relativement faible comme influence.
[22:58.000 --> 23:04.000]  Donc, je ne sais pas si le gouvernement a vraiment la main pour faire quoi que ce soit.
[23:04.000 --> 23:14.000]  Et également une chose que je sais, c'est que le marché immobilier pour le gouvernement,
[23:14.000 --> 23:17.000]  en particulier pour Emmanuel Macron lui-même,
[23:17.000 --> 23:21.000]  je ne suis pas en train de dire qu'il n'est pas un petit peu gentil ou un petit peu méchant,
[23:21.000 --> 23:24.000]  je ne porte pas de jugement de valeur,
[23:24.000 --> 23:30.000]  mais nous savons que pour Emmanuel Macron, l'immobilier c'est un truc ringard.
[23:30.000 --> 23:34.000]  Pour Emmanuel Macron et pour les gens qui l'entourent, c'est un truc ringard.
[23:34.000 --> 23:38.000]  C'est un truc de grand papa, l'immobilier.
[23:38.000 --> 23:41.000]  L'immobilier c'est lui-là. L'immobilier ça ne compte pas.
[23:41.000 --> 23:47.000]  Ce qui compte c'est la finance, ce qui compte c'est les marchés, ce qui compte c'est les Google,
[23:47.000 --> 23:55.000]  les grandes sociétés qui brassent des milliards à coups de finances, de machins, de trucs, etc.
[23:55.000 --> 23:59.000]  Ça c'est la vraie économie, c'est l'économie sympa, c'est l'économie sexy,
[23:59.000 --> 24:06.000]  c'est l'économie intéressante pour Emmanuel Macron et pour ses camarades.
[24:06.000 --> 24:09.000]  L'immobilier, ça compte pas.
[24:09.000 --> 24:16.000]  Limite, limite, c'est de l'enrichissement douteux, c'est un doute, c'est de l'enrichissement sans cause.
[24:16.000 --> 24:22.000]  C'est un concept juridique et philosophique dont on ne parle pas tous les jours.
[24:22.000 --> 24:27.000]  L'enrichissement sans cause. Je m'enrichis sans rien avoir fait pour le mériter.
[24:30.000 --> 24:35.000]  Donc c'est la raison pour laquelle le gouvernement n'a rien fait dès le démarrage.
[24:35.000 --> 24:39.000]  Le gouvernement pouvait essayer d'agir tout de suite, que ça ait des effets ou que ça n'ait pas d'effet,
[24:39.000 --> 24:44.000]  mais à chaque fois que le gouvernement pressé par les milieux économiques,
[24:44.000 --> 24:49.000]  eux disent « attendez, l'immobilier c'est très important dans l'économie française et dans l'économie mondiale,
[24:49.000 --> 24:55.000]  et surtout l'immobilier et l'argent que ça génère proprement,
[24:55.000 --> 24:59.000]  a des conséquences directes dans l'emploi.
[24:59.000 --> 25:04.000]  L'emploi des promoteurs, des constructeurs, des agences immobilières, des syndicats,
[25:04.000 --> 25:08.000]  il y a énormément d'emplois qui en découlent et il y a énormément d'argent pour l'économie.
[25:08.000 --> 25:13.000]  Ne serait-ce que les communes qui vivent énormément grâce aux frais de matières,
[25:13.000 --> 25:18.000]  c'est-à-dire les droits de mutation, c'est une source d'argent très importante pour les communes, pour les notaires, pour tout le monde.
[25:18.000 --> 25:22.000]  Donc les économistes depuis longtemps tirent la sonnette dans leur main,
[25:22.000 --> 25:26.000]  ils disent « faut pas négliger l'immobilier, c'est très important, même si c'est ringard,
[25:26.000 --> 25:33.000]  que ça sent la dastalline et le moisi par rapport à la finance un peu sexy, un peu chouette, des startups et des McKinsey,
[25:33.000 --> 25:39.000]  c'est très important dans l'économie réelle.
[25:40.000 --> 25:45.000]  Le gouvernement a dit « on va faire un plan, on va faire deux plans » et à chaque fois que le gouvernement a fait des annonces,
[25:45.000 --> 25:49.000]  on a vu ça deux fois en 2023,
[25:49.000 --> 25:56.000]  les annonces, ça va y avoir des annonces pour rebooster le marché immobilier, pour rebooster l'immobilier et le logement, le plus de logement.
[25:56.000 --> 26:03.000]  Et à chaque fois les annonces, ça a fait flop, à chaque fois qu'on a vu ça, on a dit « ah si c'était pour ça, ce n'était pas la peine,
[26:03.000 --> 26:07.000]  parce qu'en fait c'était des fausses annonces, des annonces qui ne mènent nulle part à l'histoire judiciaire.
[26:07.000 --> 26:12.000]  Oui, on a fait un plan, mais en fait, il n'y a rien derrière.
[26:12.000 --> 26:21.000]  Moi-même j'en ai discuté avec des banquiers, j'en ai discuté notamment avec un banquier.
[26:21.000 --> 26:29.000]  Alors quand je dis un banquier, c'est quelqu'un qui est à la direction d'une grande banque française
[26:29.000 --> 26:36.000]  et simplement au comité stratégique de cette banque, de mes relations,
[26:36.000 --> 26:41.000]  et qui me disait « non, non, non, non, mais tu vas voir, tu vas voir, tu vas voir »
[26:41.000 --> 26:46.000]  un moment ou un autre, parce que je lui disais la même chose.
[26:47.000 --> 26:51.000]  Le gouvernement, non, non, il se fous, ce n'est pas son truc, ça sent le moisir immobile.
[26:51.000 --> 26:55.000]  Il dit « oui, oui, c'est vrai, c'est vrai, c'est vrai, je fais ce que tu dis, c'est vrai, mais à un moment ou un autre,
[26:55.000 --> 26:58.000]  ils seront obligés parce que ça aura trop de conséquences dans l'économie réelle.
[26:58.000 --> 27:04.000]  À un moment ou un autre, le gouvernement sera obligé de faire quelque chose, ils n'auront pas le choix.
[27:04.000 --> 27:07.000]  Et là, ils vont donner un coup de volant très brutal.
[27:07.000 --> 27:16.000]  Ils vont mettre en place des actions extrêmement brutales qui auront un effet déterminant et très rapide.
[27:16.000 --> 27:21.000]  En gros, à un moment ou un autre, ils donneront un coup de volant à fond.
[27:21.000 --> 27:26.000]  Et là, ça va faire repartir le marché de manière très rapide.
[27:26.000 --> 27:35.000]  Effectivement, cette personne, c'est quelqu'un de compétent dont le jugement, à mes yeux, a une valeur.
[27:35.000 --> 27:38.000]  Je me dis, ce n'est pas un crétin, ce n'est pas un mec qui va sur Internet.
[27:38.000 --> 27:43.000]  Vous savez, comme tous ceux qui vont ramener leurs frais sur Internet pour expliquer tout et n'importe quoi et raconter leurs bêtises,
[27:43.000 --> 27:48.000]  là, c'est quelqu'un de compétent qui connaît son affaire et j'ai confiance en son jugement.
[27:48.000 --> 27:52.000]  Mais je ne vois pas arriver.
[27:52.000 --> 27:56.000]  On verra.
[27:56.000 --> 28:02.000]  Et Pierre nous dit, à la suite de José, « si le taux est élevé, il faut que les vendeurs baissent le prix et le problème est résolu.
[28:02.000 --> 28:06.000]  Oui, c'est vrai. Pierre a raison.
[28:06.000 --> 28:10.000]  Ça, c'est mécanique. C'est des maths. C'est des maths, c'est mécanique.
[28:10.000 --> 28:17.000]  Si les taux montent, il faut que les prix baissent pour compenser.
[28:17.000 --> 28:26.000]  Parce que plus un taux monte, si j'emprunte à 5%, ma maison de 100 000 euros, au lieu de la payer,
[28:26.000 --> 28:36.000]  je vais vous donner un exemple. Au lieu de payer ma maison 100 000 euros net vendeur plus, j'invente, 60 000 euros d'intérêt sur 20 ans,
