fichier,start,end,text,url
Avenant Modificatif de Prix Electronique,337.9,368.22,"Et puis, le message me dit simplement de signer ce document en cliquant sur le bouton ici, Review, Documents. C'est tout simple, c'est tout bête. Pas de question particulière là-dessus. Je clique dessus si je suis le client. Et ça m'emmène sur l'avenant. Voici l'avenant qui a été généré par Eglantine Tout simplement Je ne peux pas me tromper, je ne peux pas faire 50 choses C'est qu'une seule chose à faire Allez cliquer dans mon petit encadré qui est là Et voyez ce petit encadré C'est l'encadré qui va recueillir ma signature",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,368.22,403.16,"Je clique ici, je choisis mon mode de signature Je fais mon gribouillis Imaginons que ce soit ma signature Sauvegarder, insérer Et c'est tout Et voyez ici, il y aurait de la place Le document a été prévu pour recevoir jusqu'à 8 signatures Jusqu'à 8 clients 8 clients, ça représente plus de 99% de vos mandats. Maintenant, il existe, on en a régulièrement, un par-ci, un par-là, des mandats et donc des avenants. Avec plus de 8 vendeurs, 9, 10, 15, 20, le record, le maximum que nous ayons eu, c'est 29.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,403.3,434.18,"C'était il y a plusieurs années, parce qu'au-delà de 8 clients, soyons clairs, c'est rare. Mais parfois, il y a des successions un peu compliquées. Donc, on peut aller jusqu'à 8 de manière automatique. Imaginons que vous en ayez plus que 8 Là par contre, vous demandez à l'animation Et puis ils vont s'en occuper eux-mêmes Ils vont s'en occuper tout simplement manuellement Vous Dites donc au client de faire cette opération Il signe Une fois qu'il a fait sa petite signature comme je viens de vous le montrer Il clique sur le bouton là-haut Terminer Ça va lui demander une confirmation",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,434.18,465.76,"Donc je clique la case Et je clique sur signer Je confirme, vous voyez, merci de confirmer Je confirme que tout est OK pour moi et que j'accepte cette signature. Hop, pouf, c'est fait. Merci d'avoir signé votre document. C'est bouclé. Le client a fait sa signature. Imaginons qu'il y ait eu 2, 3, 4, 5, 6, 7, 8 clients. Ils recevraient alors tous le même email. Le même email qui leur demande de faire la même signature.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,466.46,498.12,"Vous n'avez pas d'autre action à mener que de dire à tout le monde Ça y est, c'est envoyé, regardez sur votre boîte mail Alors, soit vous leur envoyez un petit texto Vous leur passez un petit coup de fil Soit tout simplement, vous avez les clients en face de vous Parce que vous êtes chez eux Chacun se connecte sur son boîte mail Alors, petite astuce De nombreuses personnes nous disent Qu'ils trouvent ça plus intuitif Sur téléphone que sur ordinateur Alors là, je viens de vous le montrer Moi je l'ai fait sur un ordinateur et vous avez vu que c'est pas bien compliqué Par contre, sur téléphone Beaucoup de personnes, en particulier les personnes âgées",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,498.12,528.58,"Trouvent ça plus intuitif Bon, écoutez, qu'il le fasse sur téléphone ou sur tablette, ça ne pose aucun problème, ça fonctionne tout aussi bien. Maintenant que le client a signé son email d'avenant, eh bien écoutez, il ne reste plus qu'à le signer nous-mêmes. Parce que quand les clients ont signé, vous êtes vous-même le destinataire final qui va valider.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,528.58,565.4599999999999,"Ça vous permet de clôturer, d'être le dernier qui va clôturer le dossier et valider la baisse de prix. Valider la baisse de prix parce que regardez, ici, lorsque j'ai rafraîchi ma page, vous voyez qu'est apparu un nouveau petit tankard signature document avec mon avenant. Ça, c'est l'avenant que j'ai envoyé au client. Si je clique dessus, je peux suivre même sa signature. Je vois que Philippe Dumas, son email a été envoyé, il l'a consulté à 21h27, il a signé à 21h29.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,565.46,597.1,"Ça vous permet, imaginons qu'il y ait vos huit clients, de suivre les signatures de chacun. Vous pouvez voir que Philippe a reçu, il a signé. Par contre, son épouse Marie, elle, imaginons qu'il y ait un deuxième signataire, son épouse Marie, elle, elle ne l'a pas encore signé. Vous pouvez suivre ici directement dans Eglantine en temps quasi réel. Il y a juste quelques petites minutes de décalage entre le moment où le client signe l'avenant et le moment où ça s'affiche ici. de manière effective, il y a un petit décalage de 2-3 minutes, quelque chose comme ça,",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,597.2,628.86,"à peine. Ça vous permet donc de le suivre. Et vous voyez en dessous que, pour l'instant, ça n'est pas clôturé. Votre demande de modification, elle est en attente. Et vous allez voir ce qui va se passer. Je vais maintenant, je suis le conseiller, dans mon email. Hop, mon email à la lucarne. Et là, je trouve, moi également, ici, vous voyez, merci de signer ce document. j'ai le même email que mon client tout à l'heure, je clique sur le même bouton « Review document »,",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,628.86,665.6999999999999,"et c'est à mon tour de signer. Voici le document qui, à gauche, a été signé par le client. S'il y en avait plusieurs, deux, trois, quatre, j'aurais toutes les signatures ici, car je suis le dernier, moi, à intervenir pour verrouiller la procédure. C'est moi qui la clôture, moi le négociateur. Pas besoin de faire intervenir l'animation. Je clique dessus, je fais ma signature, encore un petit machin sauvegarder terminée bien entendu je dois moi également dire que je suis d'accord pour confirmer pouf c'est fini quand je vous dis que c'est fini qu'est ce que",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,665.6999999999999,703.6800000000001,ça veut dire et bien que je n'ai plus rien à faire et personne n'a plus rien à faire pas d'avenant à imprimer à renvoyer à l'animation ni par email ni par courrier pas besoin d'en récupérer l'original chez le client tout a été fait par signature électronique tout a été fait par signature électronique je n'ai donc plus rien à faire qu'est ce qui va se passer et bien avec quelques petites minutes de décalage je voulais dit ça prend deux trois quatre minutes maximum lorsque je vais retourner sur ma fiche de mandat la validation du prix va se faire automatiquement,https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,703.68,739.68,"Là, vous voyez qu'elle est toujours en attente. C'est normal et on est toujours à 350 000. Au bout de quelques minutes, à peine, là, vous voyez, j'ai reçu ici dans mes emails l'email qui me confirme que tout a été fait. Je peux d'ailleurs récupérer le document ici. Si je le voulais, vous voyez, je pourrais récupérer une copie du document signé par le client et signé par moi-même. Enfin, par le ou les clients ou par moi-même. Mais ça n'est pas nécessaire. Vous n'avez pas besoin de le faire puisque dans Eglantine, le document va s'injecter tout seul.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,739.68,770.36,"Ah, ça y est, c'est fait. Vous avez vu, on a attendu quoi ? Une minute ? Regardez en haut, le prix a été modifié. 330 000 euros, 8 338 000 euros. Et je trouve ici, au-delà du suivi des signatures qui est désormais complet, je trouve mon avenant électronique qui s'est injecté tout seul. C'est le document qui fait foi, c'est le document électronique. Regardez, j'ai à la fois le document avec les signatures, j'ai à la fois le certificat de signature électronique conforme à la loi.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,770.36,800.48,"Tout est fait Tout est bouclé Je n'ai plus rien à faire En quelques minutes J'ai fabriqué mon avenant Envoyé mon avenant pour signature électronique Reçu l'avenant directement dans Eglantine Et modifié le prix Et ce que mon client Monsieur Philippe Dumois Se trouve en face de moi Directement Ou qu'il se trouve à l'autre bout du monde Imaginons que ce monsieur habite je ne sais pas, je vous dis une bêtise, au Québec,",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,801.24,832.34,"il a pu le signer en quelques minutes et nous avons bouclé tout ça. Donc, vous le voyez, gain de temps, de facilité, de fiabilité. Je n'ai plus rien à faire. Ce système, vous l'aurez tous dans vos églantines à partir du 1er novembre 2025. Donc, dans quelques jours à peine, une petite dizaine de jours. Bien entendu, lorsque l'avenant électronique n'est pas possible parce que le client c'est une vieille dame",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,832.34,864.66,"qui est à l'EHPAD, elle n'a pas d'email ce sera toujours possible, il vous suffira de demander à l'animation un petit coup de main et ils vous prépareront ça, ça ne pose aucun problème, mais pour l'immense majorité de vos mandats et donc de vos avenants, vous êtes désormais à partir du 1er novembre entièrement autonome vous n'avez besoin ni de l'animation ni d'une imprimante, ni de quoi que ce soit pour faire vos avenants électroniques en quelques minutes, voire quelques secondes. Bien entendu, une difficulté, une question,",https://www.youtube.com/watch?v=yx8IPqHpPGI
Avenant Modificatif de Prix Electronique,864.9399999999999,890.4399999999999,"une interrogation, besoin d'un éclaircissement, vous demandez à animation.com Ils vous viendront en aide. C'est une évidence. Donc, j'espère que vous êtes tous excités de pouvoir utiliser ce système qui va vous faire gagner énormément de temps et surtout de facilité, de simplicité. On reste à votre disposition pour la suite. Merci à tous et à très bientôt pour un autre tuto.",https://www.youtube.com/watch?v=yx8IPqHpPGI
Loi Alur 2024 - Déontologie - 12 décembre 2024,0.0,36.84,"Aujourd'hui, on va étudier la déontologie des agents immobiliers, cadres législatifs, principes, relations professionnelles et sanctions. Premièrement, on va commencer par introduire le principe de la déontologie et expliquer quelles en sont les sources législatives et réglementaires. J'ai mis cadres législatifs pour faire plus court, mais en fait, ces législatifs et réglementaires, vous le savez, la source de toutes les règles que nous appliquons quotidiennement, pas que la loi législative ça veut dire la loi l'ex l'église on l'a pas c'est la loi il ya",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,36.84,68.2,"également les arrêtés les décrets ce qu'on appelle ça nous cadre réglementaire il ya également les constitutions les prôner les traités internationaux ça est plein plein plein de ce qu'on appelle des normes de sources normatives différentes dans le droit positif qui s'impose à nous donc quand Quand je mets cadre législatif, il faut que ça se limite pas uniquement à la loi. Alors, quel est l'objectif ? Ça c'est très important, pourquoi ? Parce que, avant la déontologie, ceux d'entre vous qui nous ont rejoints il y a 10, 15, 20 ans,",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,68.3,108.92,"enfin pas il y a 10 ans, parce que maintenant on arrive en 2025, et vous allez voir que ça a été introduit en 2015. Donc on va dire, ceux d'entre vous qui nous ont rejoints il y a 15 ans, il y a plus de 10 ans, donc, vous diront, « Ah bah oui, mais il n'y avait pas de déontologie à l'époque, quand j'ai rejoint la lucarne, on n'a jamais parlé de déontologie ». Oui, ça n'existait pas. La loi Allure a instauré une obligation déontologique dans les professions immobilières qui, jusqu'à présent, n'en avaient pas. Donc, il a fallu, dans un objectif de mieux réglementer la profession et les rapports entre les professionnels et leurs clients,",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,108.92,139.5,"instaurer un code de déontologie des agents immobiliers. Alors, la déontologie, qu'est-ce que c'est ? Bien souvent, on confond déontologie et éthique. C'est-à-dire, on croit que la déontologie, c'est en fait un code de bon comportement, un code de conduite. Non, la déontologie, c'est un code de conduite, c'est un code de bon comportement obligatoire. parce que l'éthique",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,139.5,172.8,"la morale elle est à géométrie variable, chacun à la sienne et on applique, c'est comme la politesse on a tous on applique la politesse à des degrés divers c'est pareil, l'éthique et la morale on l'applique à des degrés divers en fonction de ce qui est important pour nous pour chacun d'entre nous la déontologie ça n'est pas le cas la déontologie c'est pas un bon comportement qu'on adopte ou qu'on adopte pas ou dont on adopte certains des aspects et pas d'autres. La déontologie, elle s'impose à nous comme la loi,",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,173.38,212.3,"comme le code pénal, comme le code civil, comme le code de la route, comme le code du travail. Ça s'impose à nous alors, ça n'empêche pas certaines personnes d'enfreindre les lois et les règles déontologiques, mais elles sont obligatoires. Celui qui enfreint les règles déontologiques, il commet une faute, il commet une infraction. C'est pas comme la politesse, quelqu'un qui se tient mal à table. Excusez-moi, je m'étouffe. Quelqu'un qui se tient mal à table, on le regarde avec les gros yeux en disant « lui, il se tient mal à table, c'est un grossier personnage ». Et ça s'arrête là. Non. Enfreindre les règles déontologiques, c'est comme enfreindre la loi, ça emporte des sanctions.",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,212.3,259.5,"Alors, était-il nécessaire absolument dans le cadre législatif des agents immobiliers français d'introduire un code de déontologie ? Ça c'est une question qu'on peut se poser, ce n'est pas absolument forcément la première chose et la plus importante à faire, parce que vous allez voir que la déontologie reprend les obligations légales préexistantes, ça n'a pas une très très très grande utilité. Soyons clairs, il y avait une grande pression de la FNAIM, de l'UNIS, c'est-à-dire des grands représentants des professions immobilières et de ceux qui s'autodécrètent des représentants des agents immobiliers français.",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,259.5,312.24,"Il y avait une volonté de redorer un petit peu le blason des agents immobiliers en essayant, ça fait très longtemps que notamment la FNAIN fait ça, ça fait très longtemps qu'ils essayent de faire passer les agents immobiliers pour non pas une simple profession commerciale, comme le serait un vendeur de voiture, mais comme une espèce de profession juridique, économique, avec un petit peu plus de lustre. En gros, c'est de se rapprocher des notaires et des avocats et de se dissocier des simples vendeurs de quelque chose. En adoptant un code de déontologie, ils ont voulu participer, en faisant adopter un code de déontologie, participer à l'amélioration de l'image des agents immobiliers en France. Je ne sais pas si ça a beaucoup marché. On pourrait discuter très longtemps de l'image des agents immobiliers français. Ce n'est pas le sujet ce soir.",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,312.24,343.48,"mais il y avait quand même un objectif d'image, beaucoup de la part de l'AFNAIM, de l'UNIS, de ses représentants. Donc, la déontologie, c'est une discipline éthique, mais surtout juridique, qui prend une importance, on dit fondamentale, mais pas tellement, dans la régulation des professions immobilières, des professions immobilières d'aujourd'hui, alors qu'auparavant, seule la loi définissait les relations entre elles et avec les clients.",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,344.2,382.84,"Elle impose aux agents immobiliers des règles absolument impératives qui encadrent leurs pratiques professionnelles pour protéger les clients, les partenaires commerciaux et réguler les transactions du marché immobilier. Voici exactement le texte qui avait été proposé au moment de la loi Allure. On va en parler dans un instant. Donc, cette déontologie, aujourd'hui, maintenant qu'elle est en place, elle s'impose à tous les agents immobiliers, qu'ils soient polis ou mal polis, qu'ils se tiennent bien à table ou pas, c'est un code de conduite qui s'impose à tous, qu'on le veuille ou qu'on ne le veuille pas, qu'on est signé ou pas.",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,382.84,430.22,"Alors, déjà, d'où vient cette obligation de déontologie ? Elle vient de la loi Auguet, avant tout. La loi Auguet qui, en 1970, une loi qui s'applique toujours aujourd'hui alors que la vie économique, technique, technologique a beaucoup, beaucoup, beaucoup évolué depuis. La France est un des derniers pays à avoir une législation qui encadre les professions immobilières aussi anciennes. La plupart des pays d'Europe, je ne vais pas dire du monde, mais au moins d'Europe, ont entièrement revu leur législation immobilière dans les années 2000, ne serait-ce que pour les mettre à jour de la révolution technologique d'Internet et de l'informatique.",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,430.22,461.18,"En France, non. On a essayé de mettre des rustines, pas droite à gauche, notamment le décret de 2005 portant à l'adaptation des professions immobilières aux nouvelles technologies. Mais ça ne va pas très très très très loin. Il faudrait tout refaire de A à Z en réalité. Là, on a une espèce de millefeuille qui se superpose et vous allez voir que le code de déontologie, je ne vais pas dire qu'il télescope, mais il vient s'entrelacer avec les dispositions légales déjà en place précédemment. donc la loi au guet détermine",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,461.18,515.4,"un certain nombre d'obligations qui s'imposent aux agents immobiliers notamment des obligations de conditions d'accès à la profession il faut avoir certains diplômes il faut avoir un casier judiciaire vierge d'un certain type de condamnation etc la loi au guet encadre qui peut devenir agent immobilier et comment l'agent immobilier va devoir faire son travail comment il va devoir s'y prendre notamment en mettant en place un certain nombre de verrous permettant aux autorités, principalement la DGCCRF, mais pas seulement, notamment avec la création du CMTGI dont nous parlerons dans quelques minutes, permettant de contrôler et on peut dire clairement de fléquer leur activité pour vérifier, non pas s'ils s'y prennent bien, mais aller vérifier, chercher les fautes.",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,515.4,547.0600000000001,"en gros il y a une espèce de présomption de culpabilité de l'agent immobilier donc on met en place des verrous pour aller chercher les fautes qu'ils ont commises dans leur activité quotidienne c'est marrant, ça inverse un petit peu la charge de la preuve on part pas du principe que vous faites bien votre travail et puis si ça tourne mal ça va barder pour vous on part du principe que vous le faites mal voilà pourquoi on met des verrous le numéro de mandat, la date du mandat le registre des mandats, le registre des actes toutes ces choses là qui ont été mises en place par la loi Oguet pour, on peut le dire clairement,",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,547.48,579.6600000000001,"fliquer, contrôler, traquer les actions des agents immobiliers dans leur activité quotidienne. Elle a instauré une carte professionnelle qui est impérative pour exercer illégalement. Cette carte professionnelle ne vous est délivrée que si vous avez certains diplômes dans certaines matières, si vous avez des diplômes en droit, en économie, en gestion, si vous êtes ingénieur, c'est super d'être ingénieur, mais vous n'y avez pas le droit, c'est un petit peu normal, On ne voit pas le rapport entre la thermodynamique et l'immobilier. Donc, quels sont les diplômes qui vous ouvrent droit à la profession, etc.",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,580.08,612.68,"Ces obligations préalables à l'exercice visent normalement à protéger les consommateurs contre les mauvaises pratiques des agents immobiliers, notamment en matière de garantie financière, garantie financière qui n'est plus une obligation depuis 2005, qu'à condition que les agences immobilières s'engagent à ne pas manipuler de fonds. On ne va pas trop rentrer dans le détail de ça, mais vous savez que les agents immobiliers, lorsqu'ils s'assignaient un compromis de vente, moi je suis de ceux qui considèrent que les agents immobiliers ne devraient pas avoir ce droit,",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,612.8199999999999,644.58,"mais bon, c'est mon avis à moi, ils sont susceptibles de demander un chèque ou un virement d'indemnité d'immobilisation. Alors qu'on peut appeler de différentes manières. on peut appeler ça dépôt de garantie en vérité c'est une indemnité d'immobilisation ce chèque ils l'encaissent sur leur propre compte ce compte il doit être garanti pour garantir contre l'insolvabilité ou garantir contre un agent immobilier qui se barrait avec la caisse c'est arrivé, souvent avant 1970 c'est beaucoup",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,644.58,684.4399999999999,"beaucoup beaucoup beaucoup arrivé et quand la loi Oguet a été promulguée en 1970 il a fallu quand même une bonne quinzaine d'années avant que ce genre de pratique ne s'éteigne Enfin, pas complètement, mais ils disparaissent à peu près. Un des articles les plus importants de la loi Huguet, vous le connaissez tous, sans connaître son texte, mais c'est le fameux article 6, qui impose de disposer d'un mandat écrit pour pouvoir exercer notre métier. Pas de mandat écrit, on n'a pas le droit d'enclencher la moindre action commerciale, publicitaire ou juridique à propos de la vente d'un bien.",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,685.18,716.9200000000001,"Alors, dans 99% des cas en France, il s'agit d'un mandat de vente. Dans 1% des cas restants, il s'agit d'un mandat de recherche. Le mandat de recherche est beaucoup plus courant dans d'autres pays que la France. En France, le mandat de recherche est assez mal vu, notamment de la DGCCRF. Petit exemple, Lyonnais, qui va particulièrement parler à Sibylle, parce que c'est dans le 6e arrondissement. Pourquoi je dis ça ? Parce que Sibylle travaille dans le 100e, dans le 6e arrondissement.",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,718.4,750.94,"En novembre 2023, un agent immobilier, je vais vous citer des exemples tout au long, maintenant vous commencez à être habitué à ce type de structure. En novembre 2023, un agent immobilier lyonnais a été condamné pour avoir négocié la vente dans l'appartement dans le 6e arrondissement de Lyon sans disposer d'un mandat écrit préalable. Ça lui a coûté 15 000 euros, interdiction d'exercer pendant 6 mois. Alors vous allez le voir, pendant toute cette visioconférence, il y a énormément d'exemples de condamnations d'agents immobiliers ou d'agents mandataires en immobilier",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,750.94,781.78,"qui ont donné lieu à une interdiction temporaire d'exercice. C'est-à-dire, on vous prend votre carte professionnelle et on dit « Vous, vous n'exercez plus pendant 2 mois, 3 mois, 4 mois, 5 mois, 6 mois, 1 an. » Ça, c'est un arrêt de mort pour un agent immobilier. C'est un arrêt de mort. À chaque fois qu'un agent immobilier est condamné à une interdiction d'exercer pendant plus de, allez, on va dire 2 mois, c'est fini, il met la clé sous la porte, il va vendre des chouons sur la plage. C'est plus la peine. pourquoi ? parce qu'un agent immobilier ne peut pas se permettre de ne plus",https://www.youtube.com/watch?v=xrYrnt_2cRE
Loi Alur 2024 - Déontologie - 12 décembre 2024,781.78,812.7,"rentrer de mandat, de ne plus faire de visite, de ne plus signer compromis pendant 2, 3, 4 mois après il ne pourra plus faire redémarrer la machine, c'est fini c'est mort donc vous le voyez au delà des condamnations pécuniaires c'est à dire de l'argent payer de l'argent les interdictions temporaires d'exercice sont une condamnation en fait à fermer sa boutique, à fermer son agence immobilière",https://www.youtube.com/watch?v=xrYrnt_2cRE
